開始フレーム,終了フレーム,フォーメーション,方向,信頼度
18851,19703,3-3_right,right,0.82
19704,19805,3-3_left,left,0.84
19807,21001,3-3_left,left,0.79
21002,21125,3-3_right,right,0.7
21127,21789,3-3_right,right,0.84
21791,22104,0-6_right,right,0.59
22105,22241,3-3_left,left,0.75
22243,22294,0-6_left,left,0.77
22296,22491,3-3_left,left,0.76
22675,22767,3-3_right,right,0.81
22769,23380,3-3_left,right,0.79
23382,23805,1-2-3_left,right,0.79
23806,24100,2-4_right,left,0.79
24148,24285,3-3_left,left,0.77
24287,24383,3-3_left,left,0.75
24385,24932,3-3_left,left,0.8
24933,26134,3-3_right,right,0.77
26276,26644,3-3_left,left,0.81
26720,26987,3-3_left,right,0.81
26988,27143,1-5_left,left,0.8
27144,27524,3-3_left,right,0.77
27526,27770,0-6_right,right,0.39
27771,28441,3-3_left,left,0.76
28443,28692,1-5_right,left,0.82
28850,29008,3-3_right,right,0.53
29011,30056,1-2-3_right,right,0.83
30057,30234,3-3_left,left,0.8
30236,30575,0-6_left,left,0.81
30681,31853,1-2-3_right,right,0.84
31861,32111,3-3_right,right,0.73
32112,33199,3-3_left,left,0.8
33200,33472,2-4_left,right,0.74
33835,33990,3-3_left,left,0.77
33991,34206,2-4_left,right,0.83
34208,34531,1-5_right,right,0.7
34533,34628,1-5_right,right,0.72
34630,34997,1-5_right,right,0.75
34999,35069,3-3_left,right,0.67
35071,35174,0-6_right,right,0.72
35178,35241,0-6_right,right,0.72
35243,35298,1-5_right,right,0.71
35300,35562,1-2-3_left,right,0.7
35564,35867,3-3_left,right,0.76
35868,36378,0-6_left,left,0.85
36379,36985,3-3_right,right,0.83
36989,37699,1-2-3_right,right,0.74
37701,37759,3-3_left,right,0.71
37760,37963,3-3_left,left,0.81
37965,38442,2-4_left,left,0.8
38443,39285,3-3_right,right,0.8
39287,39364,1-2-3_right,right,0.71
39365,39808,0-6_left,left,0.86
39809,40190,1-2-3_left,right,0.76
40191,40674,1-5_left,left,0.8
40675,41204,0-6_left,right,0.82
41205,41605,0-6_left,left,0.81
41606,41975,0-6_right,right,0.63
41977,42224,0-6_right,right,0.46
42260,42491,3-3_left,left,0.82
42575,43085,3-3_right,right,0.76
43087,43280,0-6_left,right,0.71
43284,43395,1-5_right,right,0.67
43526,43904,3-3_left,left,0.85
44094,44155,3-3_left,right,0.84
44157,44263,2-4_right,right,0.81
44265,45129,1-2-3_right,right,0.81
45130,45371,1-2-3_left,left,0.79
45372,45552,1-2-3_right,right,0.77
45736,46453,3-3_right,right,0.79
46455,46512,0-6_right,right,0.78
46514,47287,0-6_right,right,0.8
47288,47496,3-3_right,left,0.8
47498,47901,1-2-3_left,left,0.74
47903,48446,1-2-3_left,left,0.84
48447,48771,3-3_left,right,0.81
48840,48890,3-3_left,left,0.8
48892,49253,3-3_left,left,0.81
49256,49421,1-2-3_left,left,0.83
49422,49706,3-3_left,right,0.79
49956,50766,1-5_left,left,0.82
50907,51010,1-5_left,right,0.72
51011,51067,1-5_left,left,0.7
51069,51200,0-6_left,left,0.74
51355,52051,1-2-3_right,right,0.82
52052,52512,3-3_left,left,0.83
52514,53161,0-6_left,left,0.75
53162,53240,3-3_right,right,0.78
53242,53554,3-3_right,right,0.75
53556,54189,1-2-3_left,right,0.77
54190,54742,1-2-3_left,left,0.79
54743,56086,3-3_right,right,0.79
56106,56366,3-3_left,right,0.75
56367,56722,3-3_right,left,0.85
56752,56838,3-3_left,left,0.71
56840,57193,1-2-3_left,left,0.74
57194,57469,0-6_right,right,0.66
57471,58192,1-2-3_right,right,0.77
58388,58599,0-6_left,left,0.77
58638,58817,3-3_left,right,0.68
58819,59501,3-3_left,right,0.77
59502,59676,3-3_left,left,0.85
59956,60255,0-6_left,left,0.81
60256,61062,3-3_right,right,0.83
61064,61269,2-4_right,right,0.7
61271,61352,3-3_left,right,0.72
61354,61563,3-3_left,right,0.68
61565,61686,3-3_left,right,0.68
61690,61787,3-3_left,right,0.64
61789,62179,0-6_left,right,0.66
62182,62698,0-6_right,right,0.73
62701,63033,3-3_right,right,0.8
63034,63415,1-2-3_left,left,0.81
63417,64118,0-6_left,left,0.78
64120,64201,3-3_left,left,0.82
64394,65740,3-3_left,right,0.81
65741,66199,1-2-3_left,left,0.78
66298,66536,3-3_left,right,0.73
66537,66596,0-6_left,left,0.78
66598,66650,0-6_left,left,0.8
66652,67009,0-6_left,left,0.81
67266,67560,0-6_left,left,0.67
67563,68158,0-6_left,left,0.79
68159,68386,0-6_right,right,0.71
68388,69147,3-3_right,right,0.82
69149,69891,3-3_right,right,0.77
69892,70201,0-6_left,left,0.82
70493,70574,0-6_left,right,0.75
